FileName,text,audio
-3g5yACwYnA_0,51,1780
-3g5yACwYnA_1,20,538
-3g5yACwYnA_2,41,1431
-3g5yACwYnA_3,20,921
-3g5yACwYnA_4,42,1475
-3g5yACwYnA_5,31,869
-3nNcZdcdvU_0,44,921
-3nNcZdcdvU_1,23,808
-3nNcZdcdvU_2,23,777
-HwX2H8Z4hY_0,33,917
-HwX2H8Z4hY_1,8,234
-HwX2H8Z4hY_2,21,619
-HwX2H8Z4hY_3,15,389
-HwX2H8Z4hY_4,13,553
-HwX2H8Z4hY_5,23,634
-HwX2H8Z4hY_6,20,736
-HwX2H8Z4hY_7,12,324
-HwX2H8Z4hY_8,26,763
-HwX2H8Z4hY_9,22,645
-THoVjtIkeU_0,19,482
-THoVjtIkeU_1,46,1030
-THoVjtIkeU_2,45,1478
-THoVjtIkeU_3,36,1037
-THoVjtIkeU_4,42,1346
-THoVjtIkeU_5,14,422
-THoVjtIkeU_6,35,797
-THoVjtIkeU_7,33,921
-UuX1xuaiiE_0,35,1024
-UuX1xuaiiE_1,14,356
-UuX1xuaiiE_2,12,403
-UuX1xuaiiE_3,30,797
-UuX1xuaiiE_4,15,315
-UuX1xuaiiE_5,21,616
-UuX1xuaiiE_6,20,610
-UuX1xuaiiE_7,26,793
-UuX1xuaiiE_8,20,656
-UuX1xuaiiE_9,32,867
-WXXTNIJcVM_0,14,373
-WXXTNIJcVM_1,11,207
-WXXTNIJcVM_2,36,1112
-WXXTNIJcVM_3,10,409
-WXXTNIJcVM_4,42,1054
-ZgjBOA1Yhw_0,16,894
-ZgjBOA1Yhw_1,33,1147
-ZgjBOA1Yhw_2,30,698
-ZgjBOA1Yhw_3,30,968
-ZgjBOA1Yhw_4,36,1126
-ZgjBOA1Yhw_5,25,1027
-a55Q6RWvTA_0,81,2206
-aNfi7CP8vM_0,30,1046
-aNfi7CP8vM_1,25,852
-aqamKhZ1Ec_0,32,1407
-aqamKhZ1Ec_1,19,1088
-aqamKhZ1Ec_2,50,1286
-dxfTGcXJoc_0,47,1601
-dxfTGcXJoc_1,59,2040
-dxfTGcXJoc_2,31,988
-dxfTGcXJoc_3,43,1662
-dxfTGcXJoc_4,32,1011
-dxfTGcXJoc_5,17,507
-dxfTGcXJoc_6,28,1080
-dxfTGcXJoc_7,38,1261
-egA8-b7-3M_0,14,547
-egA8-b7-3M_1,31,1065
-egA8-b7-3M_10,24,724
-egA8-b7-3M_11,18,665
-egA8-b7-3M_12,24,741
-egA8-b7-3M_13,83,2677
-egA8-b7-3M_14,16,616
-egA8-b7-3M_15,16,493
-egA8-b7-3M_16,26,645
-egA8-b7-3M_2,20,589
-egA8-b7-3M_3,29,755
-egA8-b7-3M_4,22,707
-egA8-b7-3M_5,22,677
-egA8-b7-3M_6,28,825
-egA8-b7-3M_7,16,546
-egA8-b7-3M_8,17,402
-egA8-b7-3M_9,26,1014
-iRBcNs9oI8_0,13,387
-iRBcNs9oI8_1,19,527
-iRBcNs9oI8_2,20,799
-iRBcNs9oI8_3,12,553
-iRBcNs9oI8_4,14,306
-iRBcNs9oI8_5,14,412
-iRBcNs9oI8_6,17,399
-iRBcNs9oI8_7,8,281
-iRBcNs9oI8_8,8,336
-iRBcNs9oI8_9,28,802
-lqc32Zpr7M_0,22,511
-lqc32Zpr7M_1,22,533
-lqc32Zpr7M_2,38,906
-lqc32Zpr7M_3,32,897
-lzEya4AM_4_0,46,1491
-lzEya4AM_4_1,31,737
-lzEya4AM_4_2,24,755
-lzEya4AM_4_3,20,436
-lzEya4AM_4_4,50,1471
-mJ2ud6oKI8_0,16,604
-mJ2ud6oKI8_1,23,550
-mJ2ud6oKI8_2,18,569
-mJ2ud6oKI8_3,17,479
-mJ2ud6oKI8_4,20,649
-mJ2ud6oKI8_5,13,364
-mJ2ud6oKI8_6,8,220
-mJ2ud6oKI8_7,30,690
-mJ2ud6oKI8_8,14,415
-mqbVkbCndg_0,11,322
-mqbVkbCndg_1,20,636
-mqbVkbCndg_2,24,662
-t217m2on-s_0,18,561
-t217m2on-s_1,54,1700
-tANM6ETl_M_0,33,1103
-tANM6ETl_M_1,30,659
-tANM6ETl_M_2,78,2282
-tPCytz4rww_0,23,537
-tPCytz4rww_1,17,467
-tPCytz4rww_2,32,1172
-tPCytz4rww_3,18,366
-tPCytz4rww_4,20,712
-tPCytz4rww_5,22,655
-vxjVxOeScU_0,21,662
-vxjVxOeScU_1,28,902
-vxjVxOeScU_2,44,1373
-wMB_hJL-3o_0,30,723
-wMB_hJL-3o_1,31,927
-wMB_hJL-3o_2,26,596
-wMB_hJL-3o_3,26,1133
-wny0OAz3g8_0,33,675
-wny0OAz3g8_1,15,325
-wny0OAz3g8_2,23,607
-wny0OAz3g8_3,32,650
-wny0OAz3g8_4,32,672
-wny0OAz3g8_5,13,446
-wny0OAz3g8_6,34,790
-wny0OAz3g8_7,25,603
-wny0OAz3g8_8,21,515
03X1FwF6udc_0,40,1004
03X1FwF6udc_1,24,461
03X1FwF6udc_2,18,344
03X1FwF6udc_3,36,933
03X1FwF6udc_4,35,901
03X1FwF6udc_5,44,959
03X1FwF6udc_6,16,433
07Z16yRBFUQ_0,22,597
07Z16yRBFUQ_1,40,1247
07Z16yRBFUQ_2,36,898
08d4NTXkSxw_0,26,669
08d4NTXkSxw_1,32,1068
08d4NTXkSxw_2,19,489
08d4NTXkSxw_3,32,890
0AA-wmk8WdA_0,25,651
0AA-wmk8WdA_1,18,502
0AkGtPzl7D8_0,18,544
0BVed2nBq1g_0,19,794
0BVed2nBq1g_1,11,373
0BVed2nBq1g_2,14,596
0BVed2nBq1g_3,29,1023
0BVed2nBq1g_4,16,539
0BVed2nBq1g_5,10,328
0BVed2nBq1g_6,12,502
0DBfvvIVmqY_0,27,707
0DBfvvIVmqY_1,11,267
0DBfvvIVmqY_10,12,360
0DBfvvIVmqY_2,12,329
0DBfvvIVmqY_3,18,613
0DBfvvIVmqY_4,9,380
0DBfvvIVmqY_5,11,341
0DBfvvIVmqY_6,11,304
0DBfvvIVmqY_7,12,340
0DBfvvIVmqY_8,20,520
0DBfvvIVmqY_9,11,285
0EAAfLCQabY_0,10,241
0EAAfLCQabY_1,19,571
0EAAfLCQabY_2,28,843
0EphpADwdPg_0,29,961
0EphpADwdPg_1,18,342
0EphpADwdPg_2,15,395
0EphpADwdPg_3,20,753
0EphpADwdPg_4,18,507
0EphpADwdPg_5,23,569
0FA32bEZ6xI_0,33,1272
0FA32bEZ6xI_1,21,585
0FA32bEZ6xI_10,15,655
0FA32bEZ6xI_11,14,339
0FA32bEZ6xI_12,15,428
0FA32bEZ6xI_13,7,222
0FA32bEZ6xI_14,30,1003
0FA32bEZ6xI_15,41,934
0FA32bEZ6xI_16,22,703
0FA32bEZ6xI_17,15,451
0FA32bEZ6xI_18,33,944
0FA32bEZ6xI_19,28,921
0FA32bEZ6xI_2,36,1213
0FA32bEZ6xI_20,35,984
0FA32bEZ6xI_21,37,1376
0FA32bEZ6xI_22,9,276
0FA32bEZ6xI_23,39,1295
0FA32bEZ6xI_24,16,289
0FA32bEZ6xI_25,42,1392
0FA32bEZ6xI_26,24,609
0FA32bEZ6xI_27,35,922
0FA32bEZ6xI_28,12,301
0FA32bEZ6xI_3,35,995
0FA32bEZ6xI_4,30,1088
0FA32bEZ6xI_5,27,731
0FA32bEZ6xI_6,37,1173
0FA32bEZ6xI_7,15,474
0FA32bEZ6xI_8,23,421
0FA32bEZ6xI_9,21,465
0JuRmhhgMw8_0,25,1121
0JuRmhhgMw8_1,18,572
0JuRmhhgMw8_2,29,1309
0JuRmhhgMw8_3,45,1614
0JuRmhhgMw8_4,44,1803
0JuRmhhgMw8_5,31,1053
0JuRmhhgMw8_6,29,1217
0JuRmhhgMw8_7,42,1655
0OC3wf9x3zQ_0,26,431
0OC3wf9x3zQ_1,28,871
0OC3wf9x3zQ_10,24,331
0OC3wf9x3zQ_2,39,958
0OC3wf9x3zQ_3,24,757
0OC3wf9x3zQ_4,26,578
0OC3wf9x3zQ_5,20,355
0OC3wf9x3zQ_6,35,855
0OC3wf9x3zQ_7,23,605
0OC3wf9x3zQ_8,23,417
0OC3wf9x3zQ_9,28,818
0OXeN3MhFeA_0,19,526
0OXeN3MhFeA_1,29,638
0OXeN3MhFeA_2,18,603
0OXeN3MhFeA_3,19,666
0OXeN3MhFeA_4,28,1030
0OXeN3MhFeA_5,19,701
0OXeN3MhFeA_6,20,458
0SfejBuLgFo_0,25,862
0SfejBuLgFo_1,11,313
0SfejBuLgFo_2,37,1392
0SfejBuLgFo_3,12,355
0SfejBuLgFo_4,18,639
0SfejBuLgFo_5,9,274
0SfejBuLgFo_6,14,487
0SfejBuLgFo_7,16,577
0Svu5BldR5A_0,16,493
0Svu5BldR5A_1,38,1139
0W4WsjhDgUI_0,35,1132
0WIwQgH4lKg_0,15,702
0WIwQgH4lKg_1,25,603
0WIwQgH4lKg_2,15,458
0WIwQgH4lKg_3,11,273
0WIwQgH4lKg_4,17,411
0WIwQgH4lKg_5,13,305
0Xs8wJrAmxs_0,40,1255
0Xs8wJrAmxs_1,29,886
0Xs8wJrAmxs_2,33,1304
0Xs8wJrAmxs_3,18,616
0YdYFtVdlWE_0,9,302
0YdYFtVdlWE_1,87,1907
0YdYFtVdlWE_10,36,737
0YdYFtVdlWE_11,17,514
0YdYFtVdlWE_12,27,627
0YdYFtVdlWE_13,20,624
0YdYFtVdlWE_14,65,1510
0YdYFtVdlWE_15,20,417
0YdYFtVdlWE_16,38,1103
0YdYFtVdlWE_17,18,531
0YdYFtVdlWE_18,16,263
0YdYFtVdlWE_19,10,312
0YdYFtVdlWE_2,13,297
0YdYFtVdlWE_20,38,1082
0YdYFtVdlWE_21,8,161
0YdYFtVdlWE_3,29,733
0YdYFtVdlWE_4,15,313
0YdYFtVdlWE_5,11,518
0YdYFtVdlWE_6,25,721
0YdYFtVdlWE_7,44,1296
0YdYFtVdlWE_8,7,324
0YdYFtVdlWE_9,13,356
0bsTzavb-AE_0,34,1091
0bsTzavb-AE_1,18,643
0bsTzavb-AE_2,27,953
0bsTzavb-AE_3,20,810
0cBmQ_ItVUc_0,91,2505
0cBmQ_ItVUc_1,68,1647
0cBmQ_ItVUc_10,22,578
0cBmQ_ItVUc_2,71,2238
0cBmQ_ItVUc_3,25,739
0cBmQ_ItVUc_4,40,1017
0cBmQ_ItVUc_5,34,968
0cBmQ_ItVUc_6,21,437
0cBmQ_ItVUc_7,86,2088
0cBmQ_ItVUc_8,23,556
0cBmQ_ItVUc_9,61,1351
0hCOCt6fWas_0,35,930
0hCOCt6fWas_1,19,546
0hCOCt6fWas_2,23,592
0hCOCt6fWas_3,20,552
0hCOCt6fWas_4,35,994
0hCOCt6fWas_5,29,733
0hCihQ5Kep0_0,33,1143
0hCihQ5Kep0_1,22,866
0hCihQ5Kep0_2,10,414
0jtdrsmVzYQ_0,26,815
0jtdrsmVzYQ_1,20,580
0mXv97u2OCM_0,44,1145
0mXv97u2OCM_1,20,497
0nJrksJ7azM_0,28,1132
0nJrksJ7azM_1,14,362
0nJrksJ7azM_2,13,248
0nJrksJ7azM_3,19,975
0nJrksJ7azM_4,39,893
0nJrksJ7azM_5,12,555
0p9XKC_J3hU_0,33,819
0r8KVXUCV6c_0,34,1185
0r8KVXUCV6c_1,38,1291
0r8KVXUCV6c_2,28,1024
0r8KVXUCV6c_3,29,976
0rE8jEvQW_I_0,21,450
0rE8jEvQW_I_1,23,564
0rE8jEvQW_I_2,21,466
0rE8jEvQW_I_3,18,337
0rE8jEvQW_I_4,24,646
0rE8jEvQW_I_5,10,319
0rE8jEvQW_I_6,23,689
0rE8jEvQW_I_7,9,325
0rE8jEvQW_I_8,13,289
0tkWa2skSmA_0,53,1854
0tkWa2skSmA_1,19,541
0vXaXWx7Rvo_0,25,239
0vXaXWx7Rvo_1,34,638
0vXaXWx7Rvo_2,35,466
0vXaXWx7Rvo_3,15,636
0vXaXWx7Rvo_4,32,657
0vXaXWx7Rvo_5,22,658
0zl_GDVzykw_0,22,503
0zl_GDVzykw_1,32,779
100499_0,36,867
100499_1,5,280
100499_2,52,1420
100499_3,26,568
100499_4,89,2213
100499_5,23,586
100499_6,32,819
101851_0,61,1187
101851_1,35,667
101851_10,25,584
101851_11,21,663
101851_12,70,1595
101851_13,32,630
101851_14,10,203
101851_15,19,344
101851_16,49,1366
101851_17,20,481
101851_18,14,323
101851_19,45,911
101851_2,20,309
101851_20,28,623
101851_3,5,172
101851_4,6,157
101851_5,10,178
101851_6,31,599
101851_7,19,310
101851_8,18,289
101851_9,34,573
102168_0,10,316
102168_1,21,519
102168_2,87,2535
102168_3,65,1822
102168_4,31,881
102184_0,20,478
102184_1,36,890
102184_10,17,308
102184_11,52,957
102184_12,23,487
102184_13,23,402
102184_2,23,386
102184_3,46,867
102184_4,22,421
102184_5,63,1359
102184_6,34,859
102184_7,114,1719
102184_8,63,1241
102184_9,16,353
10223_0,18,424
10223_1,19,362
10223_2,77,1819
10223_3,33,999
10223_4,15,359
10223_5,15,414
10223_6,64,1897
10223_7,12,308
10223_8,19,375
10223_9,51,1069
106077_0,15,500
106077_1,26,623
106077_10,31,970
106077_11,13,398
106077_12,24,740
106077_13,17,510
106077_14,13,592
106077_2,22,611
106077_3,30,885
106077_4,12,280
106077_5,16,443
106077_6,23,722
106077_7,17,458
106077_8,21,683
106077_9,7,258
106514_0,16,333
106514_1,28,854
106514_10,13,402
106514_11,22,569
106514_12,22,456
106514_13,35,1522
106514_14,17,417
106514_15,16,435
106514_16,7,352
106514_17,27,603
106514_2,23,1492
106514_3,22,818
106514_4,14,460
106514_5,17,436
106514_6,27,1181
106514_7,11,275
106514_8,13,221
106514_9,14,452
106941_0,8,278
106941_1,32,1080
106941_10,20,620
106941_11,13,560
106941_12,14,697
106941_2,28,1057
106941_3,15,300
106941_4,14,427
106941_5,30,1217
106941_6,13,343
106941_7,23,649
106941_8,24,594
106941_9,13,338
107551_0,36,950
107551_1,77,1933
107551_10,54,1182
107551_11,69,1604
107551_12,11,252
107551_13,12,274
107551_14,37,861
107551_2,53,968
107551_3,17,374
107551_4,11,237
107551_5,30,893
107551_6,11,467
107551_7,15,284
107551_8,25,660
107551_9,64,1483
108793_0,35,917
108793_1,29,568
108793_10,6,253
108793_11,18,362
108793_12,34,541
108793_13,20,302
108793_14,31,572
108793_15,50,1284
108793_16,33,689
108793_17,28,592
108793_18,15,261
108793_2,21,635
108793_3,26,417
108793_4,77,1588
108793_5,45,1072
108793_6,22,492
108793_7,11,289
108793_8,6,187
108793_9,18,364
110203_0,14,526
110203_1,25,659
110203_2,38,1059
110203_3,52,1862
110203_4,21,609
110203_5,37,790
110203_6,16,601
110203_7,30,869
110203_8,10,285
110203_9,19,425
110754_0,28,535
110754_1,20,525
110754_10,18,289
110754_11,18,532
110754_2,15,523
110754_3,21,679
110754_4,25,877
110754_5,25,536
110754_6,15,387
110754_7,22,606
110754_8,27,734
110754_9,7,179
110766_0,29,669
110766_1,29,825
110766_2,77,2481
110766_3,29,734
110766_4,21,568
110766_5,19,523
110766_6,16,274
110766_7,12,297
110766_8,19,413
110766_9,9,333
110788_0,64,2026
110788_1,18,565
110788_2,36,1003
110788_3,30,835
110788_4,17,317
110788_5,24,629
110788_6,14,371
112148_0,20,453
112148_1,22,523
112148_10,20,451
112148_11,20,368
112148_12,16,322
112148_13,56,1266
112148_2,15,306
112148_3,19,407
112148_4,28,978
112148_5,13,310
112148_6,29,1332
112148_7,13,371
112148_8,12,259
112148_9,11,271
112169_0,63,2346
112169_1,29,663
112169_10,11,346
112169_11,18,743
112169_12,23,838
112169_13,28,1026
112169_2,11,332
112169_3,8,204
112169_4,17,364
112169_5,4,142
112169_6,64,2006
112169_7,41,1442
112169_8,7,262
112169_9,14,735
112223_0,44,1097
112223_1,18,371
112223_10,21,425
112223_11,13,297
112223_2,28,737
112223_3,14,394
112223_4,23,559
112223_5,16,286
112223_6,26,579
112223_7,13,333
112223_8,20,590
112223_9,27,547
112604_0,107,2923
112604_1,28,1027
112604_2,42,876
112604_3,19,472
112604_4,14,236
112631_0,63,1502
112631_1,30,938
112631_2,14,398
112631_3,42,886
112631_4,41,1020
112631_5,15,465
112631_6,9,331
112631_7,22,530
112631_8,17,392
112631_9,27,677
112903_0,16,629
112903_1,35,1196
112903_2,29,1188
112903_3,17,590
112903_4,11,298
112903_5,82,2649
112903_6,51,1436
113265_0,10,495
113265_1,29,739
113265_2,21,359
113265_3,22,606
113265_4,10,256
113265_5,35,1195
113265_6,25,754
113265_7,33,1071
113265_8,93,2624
113265_9,14,388
114624_0,8,165
114624_1,32,600
114624_10,23,399
114624_11,19,534
114624_12,10,224
114624_13,13,210
114624_2,16,389
114624_3,20,522
114624_4,11,176
114624_5,19,579
114624_6,23,420
114624_7,19,278
114624_8,43,1012
114624_9,31,595
11650_0,25,540
11650_1,13,355
11650_10,36,894
11650_11,63,1314
11650_12,44,1288
11650_13,10,237
11650_14,17,401
11650_15,24,697
11650_16,67,1592
11650_17,12,256
11650_18,13,293
