FileName,text,audio
03bSnISJMiM_1,10,333
03bSnISJMiM_10,7,152
03bSnISJMiM_11,9,214
03bSnISJMiM_12,9,270
03bSnISJMiM_13,9,165
03bSnISJMiM_2,25,1036
03bSnISJMiM_3,13,198
03bSnISJMiM_4,9,224
03bSnISJMiM_5,10,77
03bSnISJMiM_6,11,189
03bSnISJMiM_7,15,491
03bSnISJMiM_8,17,1120
03bSnISJMiM_9,10,374
0h-zjBukYpk_1,13,240
0h-zjBukYpk_10,9,263
0h-zjBukYpk_11,10,184
0h-zjBukYpk_12,5,93
0h-zjBukYpk_13,6,154
0h-zjBukYpk_14,28,748
0h-zjBukYpk_15,10,140
0h-zjBukYpk_16,17,374
0h-zjBukYpk_17,15,507
0h-zjBukYpk_18,19,574
0h-zjBukYpk_19,8,330
0h-zjBukYpk_2,33,1224
0h-zjBukYpk_20,20,644
0h-zjBukYpk_21,9,110
0h-zjBukYpk_22,16,309
0h-zjBukYpk_23,13,305
0h-zjBukYpk_24,9,131
0h-zjBukYpk_25,52,1206
0h-zjBukYpk_3,10,272
0h-zjBukYpk_4,12,565
0h-zjBukYpk_5,22,967
0h-zjBukYpk_6,22,848
0h-zjBukYpk_7,22,446
0h-zjBukYpk_8,12,363
0h-zjBukYpk_9,8,219
1DmNV9C1hbY_1,13,423
1DmNV9C1hbY_10,9,124
1DmNV9C1hbY_11,12,289
1DmNV9C1hbY_12,17,321
1DmNV9C1hbY_13,8,217
1DmNV9C1hbY_14,9,145
1DmNV9C1hbY_2,18,426
1DmNV9C1hbY_3,12,265
1DmNV9C1hbY_4,22,709
1DmNV9C1hbY_5,13,326
1DmNV9C1hbY_6,20,523
1DmNV9C1hbY_7,17,514
1DmNV9C1hbY_8,7,128
1DmNV9C1hbY_9,11,237
1iG0909rllw_1,9,149
1iG0909rllw_10,12,367
1iG0909rllw_11,14,307
1iG0909rllw_12,11,159
1iG0909rllw_13,9,198
1iG0909rllw_14,18,809
1iG0909rllw_15,14,293
1iG0909rllw_16,27,881
1iG0909rllw_17,17,495
1iG0909rllw_18,20,653
1iG0909rllw_19,22,574
1iG0909rllw_2,13,186
1iG0909rllw_20,22,971
1iG0909rllw_21,37,1217
1iG0909rllw_22,41,902
1iG0909rllw_23,14,258
1iG0909rllw_24,11,203
1iG0909rllw_25,13,284
1iG0909rllw_26,34,753
1iG0909rllw_27,20,590
1iG0909rllw_28,18,433
1iG0909rllw_29,18,414
1iG0909rllw_3,18,363
1iG0909rllw_30,8,170
1iG0909rllw_4,11,388
1iG0909rllw_5,13,230
1iG0909rllw_6,8,138
1iG0909rllw_7,34,713
1iG0909rllw_8,9,189
1iG0909rllw_9,22,502
2WGyTLYerpo_1,13,212
2WGyTLYerpo_10,6,142
2WGyTLYerpo_11,12,314
2WGyTLYerpo_12,12,175
2WGyTLYerpo_13,18,416
2WGyTLYerpo_14,8,131
2WGyTLYerpo_15,9,131
2WGyTLYerpo_16,9,228
2WGyTLYerpo_17,8,237
2WGyTLYerpo_18,8,128
2WGyTLYerpo_19,24,481
2WGyTLYerpo_2,9,70
2WGyTLYerpo_20,7,105
2WGyTLYerpo_21,7,96
2WGyTLYerpo_22,10,189
2WGyTLYerpo_23,7,124
2WGyTLYerpo_24,41,1092
2WGyTLYerpo_25,8,91
2WGyTLYerpo_26,12,291
2WGyTLYerpo_27,11,161
2WGyTLYerpo_28,13,240
2WGyTLYerpo_29,17,284
2WGyTLYerpo_3,26,498
2WGyTLYerpo_30,12,156
2WGyTLYerpo_31,14,249
2WGyTLYerpo_32,9,119
2WGyTLYerpo_33,8,142
2WGyTLYerpo_34,9,175
2WGyTLYerpo_35,10,210
2WGyTLYerpo_36,10,210
2WGyTLYerpo_37,10,182
2WGyTLYerpo_38,21,581
2WGyTLYerpo_39,15,221
2WGyTLYerpo_4,18,674
2WGyTLYerpo_40,9,184
2WGyTLYerpo_41,12,296
2WGyTLYerpo_42,9,186
2WGyTLYerpo_43,16,379
2WGyTLYerpo_44,6,5244
2WGyTLYerpo_45,11,182
2WGyTLYerpo_46,8,124
2WGyTLYerpo_47,8,149
2WGyTLYerpo_48,8,98
2WGyTLYerpo_49,12,221
2WGyTLYerpo_5,19,365
2WGyTLYerpo_50,9,279
2WGyTLYerpo_51,18,407
2WGyTLYerpo_52,11,165
2WGyTLYerpo_53,11,135
2WGyTLYerpo_54,12,247
2WGyTLYerpo_55,16,525
2WGyTLYerpo_56,24,470
2WGyTLYerpo_57,16,453
2WGyTLYerpo_58,14,416
2WGyTLYerpo_59,11,184
2WGyTLYerpo_6,12,226
2WGyTLYerpo_60,13,168
2WGyTLYerpo_61,7,98
2WGyTLYerpo_62,7,140
2WGyTLYerpo_63,14,291
2WGyTLYerpo_7,8,145
2WGyTLYerpo_8,11,254
2WGyTLYerpo_9,25,720
2iD-tVS8NPw_1,30,623
2iD-tVS8NPw_10,11,305
2iD-tVS8NPw_11,11,251
2iD-tVS8NPw_12,11,135
2iD-tVS8NPw_13,29,709
2iD-tVS8NPw_14,32,753
2iD-tVS8NPw_15,9,163
2iD-tVS8NPw_16,17,316
2iD-tVS8NPw_17,21,495
2iD-tVS8NPw_18,14,184
2iD-tVS8NPw_19,13,247
2iD-tVS8NPw_2,19,361
2iD-tVS8NPw_20,45,1398
2iD-tVS8NPw_21,37,1036
2iD-tVS8NPw_22,23,709
2iD-tVS8NPw_23,11,316
2iD-tVS8NPw_24,28,583
2iD-tVS8NPw_25,23,595
2iD-tVS8NPw_26,44,1101
2iD-tVS8NPw_27,36,1208
2iD-tVS8NPw_28,19,340
2iD-tVS8NPw_29,13,163
2iD-tVS8NPw_3,12,228
2iD-tVS8NPw_30,22,465
2iD-tVS8NPw_4,19,539
2iD-tVS8NPw_5,15,170
2iD-tVS8NPw_6,12,191
2iD-tVS8NPw_7,38,885
2iD-tVS8NPw_8,7,126
2iD-tVS8NPw_9,13,196
5W7Z1C_fDaE_1,21,481
5W7Z1C_fDaE_10,15,319
5W7Z1C_fDaE_11,8,226
5W7Z1C_fDaE_12,22,347
5W7Z1C_fDaE_13,7,163
5W7Z1C_fDaE_14,22,335
5W7Z1C_fDaE_15,12,165
5W7Z1C_fDaE_16,8,221
