FileName,Emotion
1299_s_2_neu,neu
1589_s_2_ang,ang
1875_s_2_ang,ang
2162_s_3_neu,neu
2456_s_3_hap,hap
2729_s_3_hap,hap
2995_s_3_neu,neu
324_s_1_sad,sad
3507_s_4_exc,exc
38_s_1_neu,neu
41_s_1_sad,sad
687_s_1_neu,neu
0_s_1_ang,ang
1000_s_1_hap,hap
1001_s_1_hap,hap
1002_s_1_hap,hap
1003_s_1_hap,hap
1004_s_1_hap,hap
1005_s_1_hap,hap
1006_s_1_hap,hap
1007_s_1_hap,hap
1008_s_1_exc,exc
1009_s_1_hap,hap
100_s_1_ang,ang
1010_s_1_hap,hap
1011_s_1_hap,hap
1012_s_1_hap,hap
1013_s_1_hap,hap
1014_s_1_hap,hap
2600_s_3_ang,ang
2601_s_3_ang,ang
2602_s_3_neu,neu
2603_s_3_ang,ang
2604_s_3_ang,ang
2605_s_3_ang,ang
2606_s_3_ang,ang
2607_s_3_ang,ang
2608_s_3_ang,ang
2609_s_3_ang,ang
260_s_1_ang,ang
2610_s_3_ang,ang
2611_s_3_ang,ang
2612_s_3_ang,ang
2613_s_3_ang,ang
2614_s_3_ang,ang
2615_s_3_ang,ang
4200_s_4_neu,neu
4201_s_4_exc,exc
4202_s_4_exc,exc
4203_s_4_exc,exc
4204_s_4_neu,neu
4205_s_4_neu,neu
4206_s_4_ang,ang
4207_s_4_sad,sad
4208_s_4_exc,exc
4209_s_4_ang,ang
420_s_1_hap,hap
4210_s_4_neu,neu
4211_s_4_exc,exc
4212_s_4_neu,neu
4213_s_4_ang,ang
4214_s_4_hap,hap
4215_s_4_hap,hap
590_s_1_exc,exc
591_s_1_neu,neu
592_s_1_exc,exc
593_s_1_exc,exc
594_s_1_exc,exc
595_s_1_neu,neu
596_s_1_exc,exc
597_s_1_exc,exc
598_s_1_neu,neu
599_s_1_exc,exc
59_s_1_hap,hap
5_s_1_ang,ang
600_s_1_exc,exc
601_s_1_exc,exc
602_s_1_neu,neu
603_s_1_neu,neu
604_s_1_neu,neu
750_s_1_exc,exc
751_s_1_exc,exc
752_s_1_exc,exc
753_s_1_exc,exc
754_s_1_exc,exc
755_s_1_neu,neu
756_s_1_exc,exc
757_s_1_exc,exc
758_s_1_exc,exc
759_s_1_exc,exc
75_s_1_neu,neu
760_s_1_exc,exc
761_s_1_exc,exc
762_s_1_exc,exc
763_s_1_hap,hap
764_s_1_hap,hap
765_s_1_exc,exc
1160_s_2_neu,neu
1161_s_2_neu,neu
1162_s_2_neu,neu
1163_s_2_neu,neu
1164_s_2_neu,neu
1167_s_2_neu,neu
1168_s_2_neu,neu
116_s_1_neu,neu
1171_s_2_neu,neu
1172_s_2_neu,neu
1173_s_2_neu,neu
1174_s_2_neu,neu
1175_s_2_neu,neu
1176_s_2_ang,ang
1177_s_2_ang,ang
1178_s_2_ang,ang
1179_s_2_neu,neu
1320_s_2_neu,neu
1321_s_2_neu,neu
1322_s_2_neu,neu
1323_s_2_neu,neu
1324_s_2_neu,neu
1325_s_2_neu,neu
1326_s_2_neu,neu
1327_s_2_neu,neu
1328_s_2_neu,neu
1329_s_2_neu,neu
132_s_1_neu,neu
1330_s_2_neu,neu
1331_s_2_neu,neu
1332_s_2_neu,neu
1333_s_2_neu,neu
1334_s_2_neu,neu
1335_s_2_neu,neu
1490_s_2_sad,sad
1491_s_2_sad,sad
1492_s_2_sad,sad
1493_s_2_hap,hap
1494_s_2_hap,hap
1496_s_2_hap,hap
1498_s_2_exc,exc
1499_s_2_hap,hap
149_s_1_ang,ang
14_s_1_ang,ang
1500_s_2_hap,hap
1501_s_2_hap,hap
1502_s_2_hap,hap
1503_s_2_hap,hap
1504_s_2_neu,neu
1505_s_2_neu,neu
1506_s_2_neu,neu
1650_s_2_exc,exc
1651_s_2_exc,exc
1652_s_2_exc,exc
1653_s_2_exc,exc
1654_s_2_exc,exc
1655_s_2_exc,exc
1656_s_2_exc,exc
1657_s_2_exc,exc
1658_s_2_exc,exc
1659_s_2_hap,hap
165_s_1_neu,neu
1660_s_2_hap,hap
1661_s_2_hap,hap
1662_s_2_hap,hap
1663_s_2_hap,hap
1664_s_2_exc,exc
1665_s_2_hap,hap
1810_s_2_exc,exc
1811_s_2_exc,exc
1812_s_2_exc,exc
1813_s_2_exc,exc
1814_s_2_exc,exc
1815_s_2_exc,exc
1816_s_2_hap,hap
1817_s_2_hap,hap
1818_s_2_hap,hap
1819_s_2_hap,hap
181_s_1_neu,neu
1820_s_2_exc,exc
1821_s_2_hap,hap
1822_s_2_exc,exc
1823_s_2_exc,exc
1824_s_2_exc,exc
1825_s_2_exc,exc
1980_s_2_exc,exc
1981_s_2_exc,exc
1982_s_2_exc,exc
1983_s_2_exc,exc
1984_s_2_ang,ang
1985_s_2_ang,ang
1986_s_2_ang,ang
1987_s_2_ang,ang
1988_s_2_sad,sad
1989_s_2_sad,sad
198_s_1_sad,sad
1990_s_2_sad,sad
1991_s_2_sad,sad
1992_s_2_sad,sad
1993_s_2_sad,sad
1994_s_2_sad,sad
1995_s_2_sad,sad
2130_s_3_neu,neu
2131_s_3_neu,neu
2132_s_3_neu,neu
2133_s_3_neu,neu
2134_s_3_neu,neu
2135_s_3_neu,neu
2136_s_3_neu,neu
2137_s_3_ang,ang
2138_s_3_ang,ang
2139_s_3_sad,sad
213_s_1_neu,neu
2140_s_3_ang,ang
2141_s_3_neu,neu
2142_s_3_neu,neu
2143_s_3_neu,neu
2144_s_3_neu,neu
2145_s_3_neu,neu
22_s_1_ang,ang
2300_s_3_sad,sad
2301_s_3_sad,sad
2302_s_3_sad,sad
2303_s_3_sad,sad
2304_s_3_sad,sad
2305_s_3_sad,sad
2306_s_3_sad,sad
2307_s_3_sad,sad
2308_s_3_sad,sad
2309_s_3_sad,sad
230_s_1_exc,exc
2310_s_3_sad,sad
2311_s_3_sad,sad
2312_s_3_sad,sad
2313_s_3_sad,sad
2314_s_3_neu,neu
2770_s_3_neu,neu
2771_s_3_neu,neu
2772_s_3_neu,neu
2773_s_3_neu,neu
2774_s_3_neu,neu
2775_s_3_neu,neu
2776_s_3_neu,neu
2777_s_3_neu,neu
2778_s_3_neu,neu
2779_s_3_ang,ang
277_s_1_neu,neu
2780_s_3_neu,neu
2781_s_3_neu,neu
2782_s_3_neu,neu
2783_s_3_neu,neu
2784_s_3_ang,ang
2785_s_3_ang,ang
2930_s_3_exc,exc
2931_s_3_exc,exc
2932_s_3_exc,exc
2933_s_3_exc,exc
2934_s_3_neu,neu
2935_s_3_exc,exc
2936_s_3_exc,exc
2937_s_3_exc,exc
2938_s_3_hap,hap
2939_s_3_exc,exc
293_s_1_hap,hap
2940_s_3_exc,exc
2941_s_3_exc,exc
2942_s_3_exc,exc
2943_s_3_exc,exc
2944_s_3_exc,exc
2945_s_3_exc,exc
3090_s_3_sad,sad
3091_s_3_hap,hap
3092_s_3_neu,neu
3093_s_3_neu,neu
3094_s_3_hap,hap
3095_s_3_hap,hap
3096_s_3_hap,hap
3097_s_3_hap,hap
3098_s_3_exc,exc
3099_s_3_hap,hap
309_s_1_hap,hap
30_s_1_sad,sad
3100_s_3_sad,sad
3101_s_3_sad,sad
3102_s_3_sad,sad
3103_s_3_sad,sad
3104_s_3_sad,sad
3250_s_3_ang,ang
3251_s_3_ang,ang
3252_s_3_ang,ang
3253_s_3_ang,ang
3254_s_3_ang,ang
3255_s_3_ang,ang
3256_s_3_ang,ang
3257_s_3_ang,ang
3258_s_3_ang,ang
3259_s_4_sad,sad
325_s_1_sad,sad
3260_s_4_ang,ang
3261_s_4_ang,ang
3262_s_4_ang,ang
3263_s_4_ang,ang
3264_s_4_ang,ang
3265_s_4_neu,neu
3410_s_4_ang,ang
3411_s_4_ang,ang
3412_s_4_ang,ang
3413_s_4_ang,ang
3414_s_4_ang,ang
3415_s_4_ang,ang
3416_s_4_ang,ang
3417_s_4_neu,neu
3418_s_4_neu,neu
3419_s_4_neu,neu
341_s_1_neu,neu
3420_s_4_neu,neu
3421_s_4_neu,neu
3422_s_4_neu,neu
3423_s_4_neu,neu
3424_s_4_neu,neu
3425_s_4_neu,neu
3580_s_4_neu,neu
3581_s_4_neu,neu
3582_s_4_neu,neu
3583_s_4_neu,neu
3584_s_4_exc,exc
3585_s_4_neu,neu
3586_s_4_neu,neu
3587_s_4_neu,neu
3588_s_4_neu,neu
3589_s_4_neu,neu
358_s_1_neu,neu
3590_s_4_neu,neu
3591_s_4_neu,neu
3592_s_4_neu,neu
3593_s_4_hap,hap
3594_s_4_neu,neu
3595_s_4_neu,neu
3740_s_4_exc,exc
3741_s_4_neu,neu
3742_s_4_exc,exc
3743_s_4_exc,exc
3744_s_4_exc,exc
3745_s_4_exc,exc
3746_s_4_exc,exc
3747_s_4_exc,exc
3748_s_4_exc,exc
3749_s_4_exc,exc
374_s_1_neu,neu
3750_s_4_exc,exc
3751_s_4_exc,exc
